Judul,Aktual,Deskripsi,Rubrik,Tag,Cossine Rekomend,Jaccard Recommned,MAE_Cos,MAE_Jac,MAE_Cos2,MAE_Jac2
"Test Drive Hyundai Stargazer, Intip Kenyamanan dan Fitur Canggihnya!","[36, 38, 39, 40, 41]",test drive hyundai stargazer intip nyaman fitur canggih pt hyundai motors indonesia hmid hadir hyundai stargazer digadanggadang bintang baru keluarga indonesia kali jurnalis radar lampung beberapa jurnalis lampung beri sempat test drive hyundai stargazer tipe prime warna merah keliling kota bandar lampung jalan stargazer mampu jadi pilih kendara rasa langsung unggul stargazer segi performa akselerasi nyaman kendara mobil stargazer lihat stylish sporty utama bagi lampu depan horizontal drl buat mobil lihat gagah bocor hyindai stargazer baru stargazer test drive hyundai,Ekonomi Bisnis,"bocoran hyindai stargazer terbaru, stargazer, test drive, hyundai","[38, 36, 39, 40, 29]",[38 36 39 41 29],1,1,1,1
Hyundai Beri Kesempatan Dapat Tiket Piala Dunia 2022,"[37, 36, 39, 40, 41]",hyundai beri sempat tiket piala dunia hyundai beri sempat konsumen dapat tiket final piala dunia qatar dapat sempat konsumen perlu laku mesan unit hyundai stargazer baru luncur agustus nanti konsumen laku mesan unit hyundai stargazer dapat sempat ikut undi hadiah tiket final piala dunia qatar tiket sebut beri tiga menang untung masingmasing menang dapat tiket tahu hyundai stargazer hadir empat varian active trend style prime kendara banderol otr mulai rp juta tipe rendah rp juta tipe tinggi produk baru selain hadir fitur bluelink hyundai semat agam fitur unggul hyundai stargazer tiket final piala dunia hyundai mobil listrik mobil,Ekonomi Bisnis,"tiket final piala dunia, hyundai, mobil listrik, mobil","[37, 36, 40, 39, 41]",[37 36 40 39 30],0,1,0,1
"Intip Yuk, 43 Unit Hyundai Ramaikan GIIAS 2022","[37, 36, 38, 40, 41]",intip yuk unit hyundai ramai giias banyak unit produk usung hyundai motors indonesia ajang gaikindo indonesia international auto show giias unit kendara diri semua line up produk hyundai mulai stargazer creta ioniq new palisade santa fee staria tak hadir line up produk ajang giias kali hyundai bagai program milik hasil kerja sama hyundai dukung giat ramah lingkung woojune cha selaku presiden direktur pt hyundai motors indonesia kata hyundai tak usaha di bidang otomotif juga jadi sedia mobilitas beri alam makna masyarakat luas hyundai pernah henti cipta inovasi kolaborasi masa depan hadir semua line up hyundai juga akan tampil bagai produk layan hingga area interaktif orientasi masa depan promo hyundai giias hyundai,Ekonomi Bisnis,"Promo hyundai, giias 2022, hyundai","[36, 37, 7, 38, 53]",[36 37  7 32 41],2,2,4,4
"Jajal Mobil Listrik Hyundai, Bupati Tanggamus : Solusi Mengurangi konsumsi BBM","[37, 36, 39, 38, 41]",jajal mobil listrik hyundai bupati tanggamus solusi kurang konsumsi bbm pakai mobil listrik jadi salah satu solusi kurang guna bahan bakar minyak bbm sampai bupati tanggamus dewi handayani coba langsung mobil listrik produk hyundai rabu sempat dewi handayani kendara setir langsung mobil listrik sebut damping pihak hyundai jumlah jabat bupati kendara mobil listrik putar keliling jalan komplek kantor pemkab tempat usai kendara mobil testimoninya bupati kata kendara mobil listrik asa berat pengoprasionalannya mudah karena ini rupa salah satu solusi kurang guna bbm dapat jaga lingkung bisa lebih sehat tidak polusi udara ungkap dewi handayani bupati tanggamus dewi handajani hyundai bbm mobil listrik,Tanggamus,"Bupati tanggamus, dewi handajani, hyundai, bbm, mobil listrik","[37, 38, 54, 2, 30]",[54 38 37 18 16],3,3,9,9
"Pasca Kerusuhan Kanjuruhan, Polri Susun Aturan Pengamanan Sepakbola","[43, 44, 45, 46, 47]",pasca rusuh kanjuruhan polri susun atur aman sepakbola pasca rusuh jadi kanjuruhan arema fc vs baya polri susun aman tanding sepakbola akibat rusuh sebut ada orang tinggal dunia ini buat polri baharu regulasi aman sepakbola wakil komandan korps brimob wadankorbrimob polri irjen pol setyo boedi moempoeni harso aku susun atur kapolri kap dasar laku tugas aman tanding sepakbola indonesia atur buat bentuk evaluasi atas jadi tragedi kanjuruhan kabupaten malang jawa timur beberapa waktu lalu atur aman sepakbola atur sepakbola kap tragedi kanjuruhan polri,Berita Utama,"aturan pengamanan sepakbola, aturan sepakbola, perkap, tragedi kanjuruhan, polri","[43, 47, 45, 44, 46]",[47 43 44 45 46],0,0,0,0
"Ingin Keadilan, Tersangka Insiden Kanjuruhan Bantah Kunci Pintu Stadion dan Desak Polisi Buka CCTV","[42, 44, 45, 46, 47]",adil sangka insiden kanjuruhan bantah kunci pintu stadion desak polisi buka cctv security officer stadion kanjuruhan malang jawa timur suko sutrisno aku tak pernah perintah tutup pintu stadion rusuh kanjuruhan oktober suko sutrisno kini tetap jadi sangka sama orang lain desak polisi bongkar rekam cctv bukti sebut tetap suko sutrisno sangka ungkap langsung kapolri jenderal listyo sigit prabowo tetap security officer stadion kanjuruhan malang bagai sangka juga duga tak lepas perintah steward tanding arema fc vs baya tinggal gerbang mereka jaga padahal steward tanding harus di posisi masingmasing bisa buka pintu keluar stadion kanjuruhan maksimal sangka kanjuruhan kanjuruhan tragedi kanjuruhan stadion kanjuruhan,Berita Utama,"tersangka kanjuruhan, kanjuruhan, tragedi kanjuruhan, stadion kanjuruhan","[46, 42, 47, 44, 45]",[46 42 47 44 45],0,0,0,0
Lima Tersangka Tragedi Stadion Kanjuruhan Kembali Diperiksa Hari Ini di Polda Jatim,"[42, 43, 45, 47, 46]",lima sangka tragedi stadion kanjuruhan periksa hari polda jatim polri kembali laku periksa lima enam orang sangka tragedi stadion kanjuruhan periksa lima orang sangka akan laku di mapolda jawa timur selasa oktober kepala divisi humas polri irjen pol dedi prasetyo kata sidik kini layang surat panggil ke enam sangka yang jalan periksa lima orang sangka telah tetap sangka enam langsung jalan periksa hari sidik laku periksa lanjut rangka tuntas perkara sebut dalam peranperan sangka tragedi kanjuruhan arema sangka malang jawa timur,Hukum kriminal,"Tragedi Kanjuruhan, Arema, tersangka, Malang, Jawa timur","[47, 46, 43, 42, 45]",[47 43 46 42 45],0,0,0,0
"Besok PSSI dan PT LIB Dipanggil TGIPF Tragedi Kanjuruhan, Berikut Ini Bocoran yang Bakal Diklarifikasi","[44, 46, 42, 43, 47]",besok pssi pt lib panggil tgipf tragedi kanjuruhan ikut bocor bakal klarifikasi penting klarifikasi pssi pt lib bakal periksa tim gabung independen cari fakta tgipf tragedi kanjuruhan panggil pssi pt lib laku selasa oktober besok pssi panggil besok jumlah pihak kait ini semua kita akan klarifikasi sebut anggota tgipf tragedi kanjuruhan rhenald kasali jakarta senin oktober tak pssi rhenald tgipf akan panggil pt liga indonesia lib bahkan pihak pun bakal periksa khusus atur tanding arema fc vs baya gelar malam hari tgipf tragedi kanjuruhan pssi,Sport,"tgipf, tragedi kanjuruhan, pssi","[42, 44, 23, 43, 16]",[42 44 23 43 16],2,2,4,4
"6 Orang Ditetapkan Tersangka Tragedi Kanjuruhan, Berikut Peran Masing-masing Mereka","[44, 42, 43, 45, 47]",orang tetap sangka tragedi kanjuruhan ikut peran masingmasing orang sangka tetap sangka tragedi stadion kanjuruhan malang jawa timur sabtu pekan lalu tewas orang supporter orang telah tetap sangka antara tiga orang warga sipil tiga lain unsur pihak polisi orang warga sipil tetap sangka yakni direktur utama lib ahmad hadian lukita ketua panitia laksana arema malang abdul haris security officer steward suko sutrisno sangka lain polisi kabag ops polres malang kompol wahyu setyo pranoto kasat samapta polres malang akp bambang sidik achmadi komandan kompi danki brimob polda jatim inisial akp hasdarman tragedi kanjuruhan peran sangka sangka arema malang baya,Berita Utama,"tragedi kanjuruhan, peran tersangka, 6 tersangka, arema, malang , persebaya","[43, 44, 42, 47, 45]",[43 44 42 47 45],0,0,0,0
"Pemerintah Rencanakan Penghentian Siaran TV Analog Per Hari Ini, Masyarakat Diharap Bersiap","[49, 50, 51, 52, 53]",perintah rencana henti siar tv analog per hari masyarakat harap siap per hari november perintah pusat sama menteri komunikasi informasi kominfo rencana mengentikan siar tv analog alih siar digital karena perintah provinsi lampung minta masyarakat siap kepala dinas komunikasi informasi statistik diskominfotik provinsi lampung ganjar jationo sebut saat provinsi lampung tunggu terap alih siar tv analog siar tv digital bagi langsung kirim rumah keluarga miskin masingmasing syarat masuk data dtks milik televisi masuk wilayah telah alih layan siar tv digital ganjar sebut memang per november siar tv analog itu sudah akses masyarakat bisa langsung coba beli stb tv analog tv digital salur tv digital kemenkominfo,Provensi,"tv analog, tv digital, saluran tv digital, kemenkominfo","[52, 50, 53, 49, 30]",[52 50 53 49 30],1,1,1,1
"Modal Uang Rp 50 Ribu, Ternyata Sudah Bisa Nonton Saluran TV Digital Bareng Keluarga, Simak Caranya","[48, 50, 51, 52, 53]",modal uang rp ribu nyata bisa nonton salur tv digital bareng keluarga simak cara orang teknisi elektronik bagi alam ia tonton salur tv digital rumah modal ribu orang teknisi nama marta an lalu salur youtubenya kata perlu repot beli set top box stb mahal tonton siar tv digital indonesia transmisi televisi analog hapus perintah distribusi stb masyarakat kurang mampu bagi belum bagi perangkat stb sederhana rumah langkah pertama beli modul stb jual toko elektronik toko online harga modul stb jual rp ribu cukup jangkau hanya modul lanjut buat lembar triplek ukur modul stb kemudian lem modul stb rekat satu unit modul stb sederhana beli harga rp ribu kemudian sambung tv biasa tv tabung guna kabel rca kemudian guna antena belum hubung modul stb tangkap siar tv digital tv analog tv digital set top box,Berita Utama,"tv analog, tv digital, set top box","[50, 52, 53, 48, 51]",[50 52 53 48 51],0,0,0,0
"Ini Jadwal Penghentian Siaran TV Analog ASO Di Seluruh Indonesia, dan Cara Penggunaan TV Digital Pakai STB","[48, 49, 51, 53, 52]",jadwal henti siar tv analog aso seluruh indonesia cara guna tv digital pakai stb ini jadwal henti tv analog seluruh indonesia tahap cara guna tv digital pakai stb kominfo laku henti tv analog sejak oktober bagi wilayah jakarta bogor depok tangerang bekas jabodetabek kemudian henti siar tv analog seluruh dunia jadwal laku tahap sejak tanggal november sesuai undangundang no tahun cipta kerja henti siar televisi analog kenal analog switch off aso pertama wilayah sebut dapat siar tv analog akan henti siar dua siar tv digital operasi cakup tv analog ganti yang akhir sudah laku bagi bantu set top box stb bagi rumah yang tidak mampu wilayah sebut henti salur tv analog tv analog tv digital,Berita Utama,"penghentian saluran tv analog, tv analog, tv digital","[53, 52, 49, 48, 51]",[53 52 49 48 51],0,0,0,0
10 Merk Set Top Box Terbaik Untuk Tv Digital Resmi Bersertifikat Kominfo,"[52, 49, 48, 53, 50]",merk set top box baik tv digital resmi sertifikat kominfo kamu sedang cari informasi set top box stb rekomendasi pakai rumah yuk cek sini tahu informasi kait set top box stb kualitas bisa buat nyaman tonton tv tahu set top box fungsi tangkap sinyal siar tv digital set top box pasang tv belum dukung standar siar digital baik tv tabung maupun layar datar merk set top box stb sertifikat kominfo nexmedia nadvbt mpeg hd polytron pdv t ichiko hd akar ads ads ads venus brio tanaka t matrix apple evercross stbi nextron ntd tr evinix h sertifikat merek tv digital set top box kominfo,Berita Utama,"bersertifikat, merek, tv digital, set top box, kominfo","[49, 50, 52, 53, 48]",[49 52 50 48 53],0,0,0,0
WhatsApp ke Nomor Ini Biar Kamu Bisa Dapat Set Top Box Gratis,"[49, 48, 51, 50, 53]",whatsapp nomor biar kamu dapat set top box gratis rasa masuk dalam golong masyarakat tak mampu perintah tahu buat program bagi bantu set top box gratis lalu menteri kominfo kini tahu masyarakat alih siar tv analog siar tv digital rupa amanat undangundang cipta kerja ini dapat uu cipta kerja pasal nomor sebut batas akhir henti siar televisi analog analog switch aso paling lambat tahun sejak undang dapat bantu upa set top box gratis bisa aju diri hubung posko diri menteri kominfo bisa datang posko respon cepat tangan bantu set top box bawa ktp kartu tanda duduk kk kartu keluarga yang asli himpun radarlampungcoid laman publikasi menteri komunikasi informasi rabu november anda bisa hubung nomor telepon chat bot whatsapp nomor aju diri terima bantu set top box gratis uu cipta kerja siar tv analog siar tv digital stb set top box harga set top box gratis whatsapp perintah,Berita Utama,"159, uu cipta kerja, siaran tv analog, siaran tv digital, stb, set top box, harga set top box, gratis, whatsapp, pemerintah","[50, 53, 48, 49, 51]",[50 53 48 49 51],0,0,0,0
Oknum Jaksa di Lampung Utara Tersangka Kepemilikan 200 Butir Pil Alfarozolam,"[55, 56, 57, 58, 59]",oknum jaksa lampung utara sangka milik butir pil alfarozolam oknum jaksa jalan periksa sat narkoba polres lampung utara lampura atas milik butir pil psikotropika golong banyak butir merek alfarozolam akhir polres tempat buka suara oknum inisial cr tetap sangka atas milik barang larang sebut turut satnarkoba sudah jalan rangkai periksa cr atas milik butir psikotropika golong bahkan diri sita barang bukti guna laku dalam lebih lanjut kata untuk sangka sendiri pihak laku tahan itu karena sangkut koperatif dalam obat ini pihak satnarkoba polres lampura laku panggil mes lain sang oknum jaksa kejar kotabumi kejar kotabumi oknum jaksa narkotika narkoba,Lmpung Utara,"Kejari Kotabumi, oknum jaksa, narkotika, narkoba","[59, 55, 44, 57, 56]",[59 55 44 56 18],1,2,1,4
"Polisi Gagalkan Upaya Penyeludupan Psikotropika di Rutan, Begini Modusnya","[56, 57, 54, 58, 59]",polisi gagal upaya seludup psikotropika rutan begini modus upaya seludup psikotropika obatobatan larang salah satu narapidana napi rutan kelas ii b menggala hasil gagal satu reserse narkoba satresnarkoba polres tulang bawang kasatres narkoba polres tulang bawang akp aris satrio sujatmiko kata peristiwa sebut mula nl tibatiba dapat paket antar langsung orang kurir jasa kirim rumah laku anthony inka fedora warga desa kurung nyawa kecamataan gedong tata kabupaten sawar rupa narapidana kasus narkotika kasus polisi sita barang bukti bb butir pil alprazolam butir pil riklona clonazepam satu butir pil calmlet alprazolam dua unit handphone hp android merek oppo warna putih iphone tugas dapat informasi ada transaksi narkotika jenis sabu buah rumah ada umbul kemiling tugas lalu laku gerebek hasil tangkap laku napi rutan narkoba,Berita Utama,"napi, rutan, narkoba","[59, 58, 54, 57, 18]",[59 58 54 18 57],1,1,1,1
"Soal 4 Pelaku Penyalahgunaan Narkoba yang Dibebaskan Polresta, BNNP Lampung Belum Terima Surat Asesmen","[55, 57, 58, 59, 54]",soal laku penyalahgunaan narkoba bebas polresta bnnp lampung terima surat asesmen badan narkotika nasional provinsi bnnp lampung saat belum terima surat rekomendasi asesmen satresnarkoba bandar lampung inisial ds hn fh rk bila laku duga penyalahgunaan narkotika jenis sabusabu barang bukti bawah gram hanya urine positif tidak pidana laku tim asesmen padu tat hukum tat medis hanya laku rehab rehab rawat jalan polresta bandar lampung aman empat orang penyalahguna narkotika jadi tanggal oktober lanjut ke empat orang sebut serah laku rehabilitasi panti ipwl sebut bebas duga bnnp lampung duga polresta bandar lampung penyalahgunaan narkoba narkoba,Hukum kriminal,"dibebaskan, 4 terduga, bnnp lampung, terduga, polresta bandar lampung, penyalahgunaan narkoba, narkoba","[59, 54, 44, 23, 57]",[59 54 58 44 57],2,1,4,1
"Musnahkan Barang Bukti Narkoba Ratusan Kilogram dan Ribuan Pil Terlarang, Begini Atensi Polda Lampung","[55, 56, 58, 59, 54]",musnah barang bukti narkoba ratus kilogram ribu pil larang begini atensi polda lampung polda lampung jajar gelar konferensi pers ungkap musnah barang bukti bb rs imanuel bandar lampung bb musnah sabusabu ss banyak gram kg ganja gram kg ekstasi butir happy five butir estimasi nilai ekonomis bb rp asumsi kg ganja nila rp kg ss nila rp butir ekstasi nila rp butir happy five nila rp selamat jiwa asumsi gram ganja konsumsi orang gram ss orang butir ekstasi orang butir happy five orang bb akan musnah guna mesin incinerator rs imanuel bandarlampung musnah bb narkoba tuju beri kuat anggota musnah barang bukti polda lampung narkoba,Hukum kriminal,"pemusnahan, barang bukti, polda lampung, narkoba","[54, 55, 59, 56, 29]",[54 56 55 59 29],1,1,1,1
"Heboh Video Penangkapan Pengedar Sabu, Polisi Dihalangi, Dilempar Batu, Sampai Keluarkan Tembakan Peringatan","[55, 56, 57, 59, 54]",heboh video tangkap edar sabu polisi halang lempar batu keluar tembak ingat peristiwa tangkap laku edar gelap narkotika jenis sabu camat menggala tulang bawang heboh pasal tangkap tugas satu reserse narkoba satresnarkoba polres tulang bawang sempat dihalanghalangi hingga lempari batu lihat tugas sempat keluar tembak ingat udara kasus polisi tangkap satu orang laku heri ismail warga kampung bujung tenuk camat menggala tugas kemudian laku gerebek lokasi sebut tugas hasil tangkap satu orang lakilaki duga laku tindak pidana narkotika ini laku tahan mapolres tulang bawang akan kena pasal ayat undangundang republik indonesia nomor tahun narkotika polres tulang bawang edar sabu narkoba,tulang bawang,"polres tulang bawang, pengedar, sabu, narkoba","[55, 59, 23, 56, 47]",[55 59 56 23 50],2,2,4,4
